date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:17:23	2832/2832	------	200	untouched ('')	image/png	etag:%222lp3s9r3hgpjr%22	https://media.collegedekho.com/media/img/institute/logo/DPU_108x108.png?width=640	C:/My%20Web%20Sites/https___www.collegedekho.com_/media.collegedekho.com/media/img/institute/logo/DPU_108x108a0d7.png	(from https://www.collegedekho.com/assured)
13:17:23	73331/73331	------	200	untouched ('OK')	text/html	etag:W/%22tfpk4oinj01k9q%22	https://www.collegedekho.com/colleges/pimpri-chinchwad-university-etp-program	C:/My%20Web%20Sites/https___www.collegedekho.com_/www.collegedekho.com/colleges/pimpri-chinchwad-university-etp-program.html	(from https://www.collegedekho.com/assured)
13:17:23	8475/8475	------	200	untouched ('')	image/png	etag:%2232mq92hefgxyt%22	https://media.collegedekho.com/media/img/institute/logo/PCU-Logo-01.png?width=256	C:/My%20Web%20Sites/https___www.collegedekho.com_/media.collegedekho.com/media/img/institute/logo/PCU-Logo-0164c0.png	(from https://www.collegedekho.com/assured)
13:17:23	8475/8475	------	200	untouched ('')	image/png	etag:%2232mq92hefgxyt%22	https://media.collegedekho.com/media/img/institute/logo/PCU-Logo-01.png?width=640	C:/My%20Web%20Sites/https___www.collegedekho.com_/media.collegedekho.com/media/img/institute/logo/PCU-Logo-01a0d7.png	(from https://www.collegedekho.com/assured)
13:17:23	113618/113618	------	200	untouched ('OK')	text/html	etag:W/%22uafintr5ea2fbn%22	https://www.collegedekho.com/colleges/dev-bhoomi-uttarakhand-university-dehradun-etp-program	C:/My%20Web%20Sites/https___www.collegedekho.com_/www.collegedekho.com/colleges/dev-bhoomi-uttarakhand-university-dehradun-etp-program.html	(from https://www.collegedekho.com/assured)
13:17:23	28766/28766	------	200	untouched ('')	image/png	etag:%2227n8amh07f6sg%22	https://media.collegedekho.com/media/img/institute/logo/dbgi.png?width=256	C:/My%20Web%20Sites/https___www.collegedekho.com_/media.collegedekho.com/media/img/institute/logo/dbgi64c0.png	(from https://www.collegedekho.com/assured)
13:17:23	28766/28766	------	200	untouched ('')	image/png	etag:%2227n8amh07f6sg%22	https://media.collegedekho.com/media/img/institute/logo/dbgi.png?width=640	C:/My%20Web%20Sites/https___www.collegedekho.com_/media.collegedekho.com/media/img/institute/logo/dbgia0d7.png	(from https://www.collegedekho.com/assured)
13:17:23	67776/67776	------	200	untouched ('OK')	text/html	etag:W/%226uwfr762re1fzv%22	https://www.collegedekho.com/university/acharya-bangalore-b-school-etp-program	C:/My%20Web%20Sites/https___www.collegedekho.com_/www.collegedekho.com/university/acharya-bangalore-b-school-etp-program.html	(from https://www.collegedekho.com/assured)
13:17:23	4463/4463	------	200	untouched ('')	image/jpeg	etag:%225zl9vz1q3cao%22	https://media.collegedekho.com/media/img/institute/logo/sadvaknsdvs.jpg?width=256	C:/My%20Web%20Sites/https___www.collegedekho.com_/media.collegedekho.com/media/img/institute/logo/sadvaknsdvs64c0.jpg	(from https://www.collegedekho.com/assured)
13:17:23	0/-1	---M--	301	error ('')			https://www.collegedekho.com/university/du-college-predictor	C:/My%20Web%20Sites/https___www.collegedekho.com_/www.collegedekho.com/university/du-college-predictor.40c.delayed	(from https://www.collegedekho.com/news/bihar-ugmac-round-2-rank-card-2026-releasing-on-september-20-bceceboardbihargovin-80046/)
13:17:24	12613/12613	------	200	untouched ('')	image/jpeg	etag:%22y4wtxlhfim9n%22	https://media.collegedekho.com/media/img/institute/logo/sadvaknsdvs.jpg?width=640	C:/My%20Web%20Sites/https___www.collegedekho.com_/media.collegedekho.com/media/img/institute/logo/sadvaknsdvsa0d7.jpg	(from https://www.collegedekho.com/assured)
13:17:24	100115/100115	------	200	untouched ('OK')	text/html	etag:W/%22cc1wagjekv24xi%22	https://www.collegedekho.com/colleges/jagran-lakecity-university-etp-program	C:/My%20Web%20Sites/https___www.collegedekho.com_/www.collegedekho.com/colleges/jagran-lakecity-university-etp-program.html	(from https://www.collegedekho.com/assured)
13:17:24	1693/1693	------	200	untouched ('')	image/jpeg	etag:%2261ay2xftkul5%22	https://media.collegedekho.com/media/img/institute/logo/JLU_logo_104x104.jpg?width=256	C:/My%20Web%20Sites/https___www.collegedekho.com_/media.collegedekho.com/media/img/institute/logo/JLU_logo_104x10464c0.jpg	(from https://www.collegedekho.com/assured)
13:17:24	1693/1693	------	200	untouched ('')	image/jpeg	etag:%2261ay2xftkul5%22	https://media.collegedekho.com/media/img/institute/logo/JLU_logo_104x104.jpg?width=640	C:/My%20Web%20Sites/https___www.collegedekho.com_/media.collegedekho.com/media/img/institute/logo/JLU_logo_104x104a0d7.jpg	(from https://www.collegedekho.com/assured)
13:17:24	95368/95368	------	200	untouched ('OK')	text/html	etag:W/%22ukdg2bpc9p219n%22	https://www.collegedekho.com/colleges/jecrc-university/etp-program	C:/My%20Web%20Sites/https___www.collegedekho.com_/www.collegedekho.com/colleges/jecrc-university/etp-program.html	(from https://www.collegedekho.com/assured)
13:17:24	7951/7951	------	200	untouched ('')	image/jpeg	etag:%22i1y80g787kz3%22	https://media.collegedekho.com/media/img/institute/logo/Jecrc_final_logo.jpg?width=256	C:/My%20Web%20Sites/https___www.collegedekho.com_/media.collegedekho.com/media/img/institute/logo/Jecrc_final_logo64c0.jpg	(from https://www.collegedekho.com/assured)
13:17:24	7951/7951	------	200	untouched ('')	image/jpeg	etag:%22i1y80g787kz3%22	https://media.collegedekho.com/media/img/institute/logo/Jecrc_final_logo.jpg?width=640	C:/My%20Web%20Sites/https___www.collegedekho.com_/media.collegedekho.com/media/img/institute/logo/Jecrc_final_logoa0d7.jpg	(from https://www.collegedekho.com/assured)
13:17:24	52895/52895	------	200	untouched ('OK')	text/html	etag:W/%22v1iz7gd1tw14ii%22	https://www.collegedekho.com/colleges/collegedekho-academy-etp-program	C:/My%20Web%20Sites/https___www.collegedekho.com_/www.collegedekho.com/colleges/collegedekho-academy-etp-program.html	(from https://www.collegedekho.com/assured)
